s,Fx
0.0,0.002289561566764781
0.1,0.011473556320648884
0.2,0.02374566860685148
0.3,0.03972796531356481
0.4,0.06404224696218211
0.5,0.10507835349907925
0.6,0.18431180297983546
0.7,0.36405921391199786
0.8,0.8732239516095788
0.9,2.6690508946376275
1.0,9.099451341661155
1.1,25.38802126665056
1.2,52.06025255718661
1.3,86.02684594089091
1.4,124.95845203662543
1.5,167.5838730835456
1.6,213.18940599581342
1.7,261.3499711920704
1.8,311.7962871599889
1.9,364.35402955232007
2.0,418.9110110230787
2.1,475.39323741024174
2.2,533.7542979839482
2.3,593.9664440733397
2.4,656.0192429777969
2.5,719.9149336746311
2.6,785.6607082164561
2.7,853.2788171856952
2.8,922.794128889328
2.9,994.2332406990463
3.0,1067.6254248541097
3.1,1142.9994374477335
3.2,1220.3931677205687
3.3,1299.8422737623412
3.4,1381.3695534508456
3.5,1465.0427118647676
3.6,1550.8892031938958
3.7,1638.9739329001745
3.8,1729.291295797978
3.9,1821.9743404024473
4.0,1917.0319299302282
4.1,2014.5331656563185
4.2,2114.5768588858787
4.3,2217.0913849862195
4.4,2322.2398336890847
4.5,2430.047913500132
4.6,2540.5956773802727
4.7,2653.962989197239
4.8,2770.1013796891243
4.9,2889.268796858085
5.0,3011.1755707671637
5.1,3136.3307567750126
5.2,3264.569888757002
5.3,3396.033083760883
5.4,3530.8516410426714
5.5,3669.0623332042123
5.6,3810.6779687928943
5.7,3956.082629430016
5.8,4105.128590372894
5.9,4257.262311794374
6.0,4414.122095572255
6.1,4574.069442977892
6.2,4738.058564576874
6.3,4906.043932401295
6.4,5078.28251082704
6.5,5255.439724513795
6.6,5436.757259855849
6.7,5622.225310594137
6.8,5813.414978368056
6.9,6008.940842493168
7.0,6208.512744413155
7.1,6414.561047960731
7.2,6624.8201368161335
7.3,6838.882290952074
7.4,7060.074841590778
7.5,7286.616133881381
7.6,7518.326663877199
7.7,7756.192987509813
7.8,7999.687897306625
7.9,8250.771753898704
8.0,8507.075384842186
