s,Fx
0.0,-0.0016233849344427008
0.1,0.005807945200557184
0.2,0.013522905683018376
0.3,0.022820812379694123
0.4,0.0358886580463484
0.5,0.05567987890431492
0.6,0.09392023878183477
0.7,0.1902291535834964
0.8,0.49448056210329366
0.9,1.8463582492052288
1.0,8.251173897456416
1.1,29.91783339057165
1.2,79.20094134387902
1.3,168.97795409287244
1.4,318.03880861185024
1.5,555.2077511336976
1.6,923.7105141912929
1.7,1487.605792467208
1.8,2340.925677885055
1.9,3621.277975427694
2.0,5529.55554545382
2.1,8358.040541797543
2.2,12531.342235460741
2.3,18665.14697301365
2.4,27651.33253279457
2.5,40779.8563003652
2.6,59913.186129337606
2.7,87742.35621589517
2.8,128145.21261733575
2.9,186707.10981791155
3.0,271466.20223067753
3.1,393965.6856025293
3.2,570825.7392563316
3.3,825908.503818027
3.4,1.1934187096565024e6
3.5,1.7225430486348309e6
3.6,2.4837509085962987e6
3.7,3.578293922775541e6
3.8,5.150955242892297e6
3.9,7.409610618213387e6
4.0,1.0652186313859498e7
4.1,1.530502149745735e7
4.2,2.1982407199641194e7
4.3,3.155427794505434e7
4.4,4.527736560191396e7
4.5,6.494604117935078e7
4.6,9.313361811493331e7
4.7,1.3353104210809168e8
4.8,1.9139432890321776e8
4.9,2.742910885663157e8
5.0,3.9296294671004236e8
5.1,5.63049389036058e8
5.2,8.067783937251134e8
5.3,1.1558557507834158e9
5.4,1.6557671874291573e9
5.5,2.3724294414837885e9
5.6,3.399200521473765e9
5.7,4.871291349616169e9
5.8,6.980034197743382e9
5.9,1.0002987495755964e10
6.0,1.434465812092081e10
6.1,2.0560887943291725e10
6.2,2.948059152649719e10
6.3,4.2299606626243965e10
6.4,6.068798184965226e10
6.5,8.717269849815634e10
6.6,1.251178228808489e11
6.7,1.7971558842811984e11
6.8,2.583386167256673e11
6.9,3.7143450949965283e11
7.0,5.341494784300908e11
7.1,7.689605691469484e11
7.2,1.1072407966158682e12
7.3,1.5951333273624846e12
7.4,2.300374499338526e12
7.5,3.3205249123609116e12
7.6,4.793845838264288e12
7.7,6.929384422077803e12
7.8,1.002526966499149e13
7.9,1.4515634987709588e13
8.0,2.1040799449410453e13
