s,Fx
0.0,0.0005108740403296188
0.1,0.007692655364789888
0.2,0.01670130020542311
0.3,0.028228383741839214
0.4,0.045688625349540504
0.5,0.07463248983971066
0.6,0.13152971596231514
0.7,0.26730573500051297
0.8,0.6734839934760407
0.9,2.2607825735702383
1.0,8.689253007255871
1.1,27.175240933783424
1.2,62.16611244107021
1.3,114.45454369907576
1.4,185.33312366877874
1.5,277.4139293996463
1.6,394.43131633596914
1.7,541.2116966364993
1.8,723.6733699042894
1.9,948.9960743310379
2.0,1225.850857563714
2.1,1564.6017756594172
2.2,1977.64401907016
2.3,2479.762239370747
2.4,3088.6523105398887
2.5,3825.4422420344763
2.6,4715.227117671562
2.7,5788.176915255596
2.8,7080.106182466832
2.9,8633.578087774396
3.0,10499.151751580855
3.1,12736.558032386414
3.2,15417.481436167578
3.3,18626.71783487081
3.4,22463.687979945502
3.5,27049.386919795452
3.6,32524.76771252365
3.7,39060.738394391905
3.8,46851.54120063417
3.9,56142.662490930874
4.0,67213.32794771812
4.1,80399.00574158973
4.2,96109.56368743717
4.3,114785.34991837939
4.4,137006.84268044875
4.5,163430.09892202882
4.6,194846.22996235042
4.7,232195.13534834766
4.8,276545.07118880434
4.9,329292.81119101733
5.0,391792.37871609215
5.1,466155.8940553532
5.2,554430.0044077445
5.3,659265.5652291662
5.4,783719.8781484882
5.5,931529.5541465676
5.6,1.106922455708364e6
5.7,1.315414274312524e6
5.8,1.5628035488074268e6
5.9,1.8556013151020666e6
6.0,2.2049385844418867e6
6.1,2.617409679692313e6
6.2,3.1080088136335798e6
6.3,3.690058611641845e6
6.4,4.3813106683442155e6
6.5,5.2045351998486435e6
6.6,6.180907353478707e6
6.7,7.338057362163237e6
6.8,8.719383278838629e6
6.9,1.0357475783588361e7
7.0,1.2297870878040513e7
7.1,1.4617410371286742e7
7.2,1.736280326925165e7
7.3,2.0619681779158294e7
7.4,2.4510595617874652e7
7.5,2.9144980631915916e7
7.6,3.464036409010652e7
7.7,4.119928194488756e7
7.8,4.900996168845504e7
7.9,5.832967971336161e7
8.0,6.943183296106318e7
