s,Fx
0.0,-0.0006848475154297136
0.1,0.006251105394062208
0.2,0.01411193422553269
0.3,0.023872260769168978
0.4,0.03819397835349581
0.5,0.06097956995481726
0.6,0.1057132483540112
0.7,0.2162418397344429
0.8,0.5587034849942424
0.9,2.0031302766399794
1.0,8.420234446264722
1.1,28.724479659168697
1.2,71.54875019298359
1.3,143.48854916384306
1.4,253.4607873564863
1.5,414.59822104117086
1.6,645.3382766838786
1.7,971.0261515237858
1.8,1425.9795703517368
1.9,2056.517072102881
2.0,2925.03012868752
2.1,4115.207147690961
2.2,5739.221683654604
2.3,7947.166146180177
2.4,10939.86668304866
2.5,14985.611549215579
2.6,20442.05786512417
2.7,27787.326323052635
2.8,37657.8427845239
2.9,50900.67364792678
3.0,68642.41974709464
3.1,92377.06913742684
3.2,124096.42256311426
3.3,166442.71863612483
3.4,222911.5235817801
3.5,298165.28439381573
3.6,398367.49442884733
3.7,531731.3056066218
3.8,709052.8560634924
3.9,944782.4875437525
4.0,1.2579843325865606e6
4.1,1.6739148420305343e6
4.2,2.226382362955854e6
4.3,2.9590772273853766e6
4.4,3.9311587772605554e6
4.5,5.220306906019224e6
4.6,6.929729635669844e6
4.7,9.196353977591047e6
4.8,1.2199648235205172e7
4.9,1.618147240804601e7
5.0,2.1451588367721617e7
5.1,2.8441246938482158e7
5.2,3.770366380109767e7
5.3,4.997473193232635e7
5.4,6.6228249359631814e7
5.5,8.777523430151361e7
5.6,1.1631908508182684e8
5.7,1.5416889887837774e8
5.8,2.0430168983883333e8
5.9,2.7069385426276946e8
6.0,3.5892575325176084e8
6.1,4.755698061208378e8
6.2,6.303688297291758e8
6.3,8.358194570673522e8
6.4,1.1082437113886585e9
6.5,1.4707292254739957e9
6.6,1.9507982633719306e9
6.7,2.5882335854608536e9
6.8,3.436852827111251e9
6.9,4.563581497550243e9
7.0,6.059313196036274e9
7.1,8.054067337605827e9
7.2,1.0703432114698914e10
7.3,1.4228163246801008e10
7.4,1.8931809960514736e10
7.5,2.5207916468043545e10
7.6,3.3560800892820137e10
7.7,4.472558582987815e10
7.8,5.964095497198023e10
7.9,7.957875460068497e10
8.0,1.0625964800308167e11
