s,Fx
0.0,-0.0014228682928482904
0.1,0.005860071541268886
0.2,0.013555889239925031
0.3,0.02289029478734757
0.4,0.036142093380203764
0.5,0.05644123428949704
0.6,0.09584350789344163
0.7,0.19476288008805046
0.8,0.5062061579354685
0.9,1.8759802842843103
1.0,8.283487923517221
1.1,29.673223047280775
1.2,77.60174514001496
1.3,163.5196226839591
1.4,303.85812499212
1.5,523.5378323449399
1.6,859.3948250221142
1.7,1365.1771908267092
1.8,2118.5114366730227
1.9,3231.1738541049767
2.0,4863.744095936313
2.1,7246.108122953388
2.2,10706.92281396874
2.3,15715.188251720318
2.4,22939.622252481928
2.5,33332.2346461081
2.6,48245.93218340704
2.7,69605.29828297462
2.8,100140.27528973437
2.9,143721.52670607113
3.0,205832.70332488406
3.1,294224.94464006094
3.2,419887.6887602045
3.3,598352.5849216679
3.4,851532.4974488302
3.5,1.210461907910064e6
3.6,1.7189032776528182e6
3.7,2.4387847886613975e6
3.8,3.4572216036704425e6
3.9,4.897473733749987e6
4.0,6.933373866460899e6
4.1,9.809849874421699e6
4.2,1.387457000869747e7
4.3,1.9611408258941155e7
4.4,2.7709724034969196e7
4.5,3.9137904443860136e7
4.6,5.526349771280267e7
4.7,7.801767799448356e7
4.8,1.1010626472310667e8
4.9,1.5537042731658807e8
5.0,2.191618893446167e8
5.1,3.091830724479931e8
5.2,4.361808049145791e8
5.3,6.152580910615776e8
5.4,8.677419101698562e8
5.5,1.2240811596719747e9
5.6,1.7266796643387427e9
5.7,2.436094252945848e9
5.8,3.436525388104572e9
5.9,4.848191153735436e9
6.0,6.8443815710188055e9
6.1,9.657363471397741e9
6.2,1.3631162218477137e10
6.3,1.9252110424305027e10
6.4,2.7189349487989124e10
6.5,3.8441680019194496e10
6.6,5.431156748238268e10
6.7,7.678325551305414e10
6.8,1.0863839536216684e11
6.9,1.5373365119956473e11
7.0,2.17580572646155e11
7.1,3.082720649579389e11
7.2,4.368264463695842e11
7.3,6.192740564999022e11
7.4,8.788109765998491e11
7.5,1.2482273945563022e12
7.6,1.7731180134003892e12
7.7,2.521694371456757e12
7.8,3.589324779273001e12
7.9,5.112752702963967e12
8.0,7.29037671368119e12
