qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,2.958821150473502e10,1.0e8,-2.968821150473502e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.747604854554163e10,1.0e8,-1.757604854554163e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,921.6855931616644,2.346383136045524e9,1.0e8,-2.446382214359931e9
0.5,0.0,1.370236870833669e9,5.909497956874206e8,1.0e8,6.792870751462483e8
-0.1,-0.9,550.4771339479626,1.4584975688169685e10,1.0e8,-1.468497513769255e10
-0.6,-0.7,0.0,2.2581962082131756e10,1.0e8,-2.2681962082131756e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,3.5286090304450854e6,1.0e8,-1.0352860903044508e8
-0.2,0.9,0.0,1.632015287036288e10,1.0e8,-1.642015287036288e10
-1.0,-0.7,0.0,2.954818203124613e10,1.0e8,-2.964818203124613e10
-0.5,-0.4,0.0,1.8130999917175842e10,1.0e8,-1.8230999917175842e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,1.2430179859065218e9,6.134113861912091e8,1.0e8,5.296065997153127e8
-1.2,1.1,0.0,2.7514011692575203e10,1.0e8,-2.7614011692575203e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,6.908617478516467e6,1.0e8,-1.0690861747851646e8
0.8,-1.4,31137.92328946523,6.990454742928124e9,1.0e8,-7.090423605004835e9
-0.7,-1.1,0.0,2.5306812940067696e10,1.0e8,-2.5406812940067696e10
-0.7,0.1,0.0,2.2196646323432198e10,1.0e8,-2.2296646323432198e10
-1.2,1.0,0.0,2.8920049015331074e10,1.0e8,-2.9020049015331074e10
1.8,0.0,1.3298484326831703e9,6.440504747609525e7,1.0e8,1.165443385207075e9
1.4,-1.4,625891.4501024547,1.0231506990623621e9,1.0e8,-1.1225248076122596e9
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,19984.116562562907,8.688004694570461e9,1.0e8,-8.7879847104539e9
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,1.2516685638253387e10,1.0e8,-1.2616685638253387e10
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,2.3573161370740795e10,1.0e8,-2.3673161370740795e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,174.67481882734634,8.797548611148895e9,1.0e8,-8.897548436474077e9
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,2.9091395115213234e10,1.0e8,-2.9191395115213234e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,4.754842451728512e6,5.71952700162754e9,1.0e8,-5.814772159175811e9
-0.9,1.6,0.0,1.7989134104953617e10,1.0e8,-1.8089134104953617e10
-1.8,0.9,0.0,4.857490519350432e9,1.0e8,-4.957490519350432e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.4213589137601286e10,1.0e8,-1.4313589137601286e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,110746.18348815374,2.7161119988077908e9,1.0e8,-2.8160012526243024e9
