qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,1.719205418123705e10,1.0e8,-1.729205418123705e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.5621524802278296e10,1.0e8,-1.5721524802278296e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,0.0,4.331578470862522e9,1.0e8,-4.431578470862522e9
0.5,0.0,5.205933440780781e6,6.623410335826485e9,1.0e8,-6.718204402385704e9
-0.1,-0.9,2481.765769575101,1.3198868955077785e10,1.0e8,-1.3298866473312016e10
-0.6,-0.7,584.3344070278873,1.4439611574098442e10,1.0e8,-1.4539610989764034e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,4.5709621752400255e8,1.0e8,-5.570962175240026e8
-0.2,0.9,1502.4423853815313,1.3584538234551155e10,1.0e8,-1.368453673210877e10
-1.0,-0.7,0.0,1.7457049201804962e10,1.0e8,-1.7557049201804962e10
-0.5,-0.4,64912.996184289674,1.089630468603011e10,1.0e8,-1.0996239773033926e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,260372.0445615855,9.332733205510746e9,1.0e8,-9.432472833466185e9
-1.2,1.1,0.0,1.6880391000186483e10,1.0e8,-1.6980391000186483e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,5.9354332760655545e7,1.0e8,-1.5935433276065555e8
0.8,-1.4,0.0,1.419757213336612e10,1.0e8,-1.429757213336612e10
-0.7,-1.1,0.0,1.7177133934569307e10,1.0e8,-1.7277133934569305e10
-0.7,0.1,14270.18026242183,1.2214125579863386e10,1.0e8,-1.2314111309683125e10
-1.2,1.0,0.0,1.7487522314990334e10,1.0e8,-1.7587522314990334e10
1.8,0.0,0.0,1.071786044583656e10,1.0e8,-1.081786044583656e10
1.4,-1.4,0.0,3.514079126324008e9,1.0e8,-3.614079126324008e9
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,0.0,1.5065907911553915e10,1.0e8,-1.5165907911553915e10
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,8.933817485054617e9,1.0e8,-9.033817485054617e9
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,1.584668838456299e10,1.0e8,-1.594668838456299e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,0.0,1.3521801868426403e10,1.0e8,-1.3621801868426403e10
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,1.7789514960003872e10,1.0e8,-1.7889514960003872e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,765.673287318741,1.3414634206393938e10,1.0e8,-1.3514633440720652e10
-0.9,1.6,0.0,1.2543086641165363e10,1.0e8,-1.2643086641165363e10
-1.8,0.9,0.0,1.717291006887067e9,1.0e8,-1.817291006887067e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.228160821486317e10,1.0e8,-1.238160821486317e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,0.0,7.725988470615184e9,1.0e8,-7.825988470615184e9
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.3,0.6,64059.916340557116,1.0843766360519793e10,1.0e8,-1.0943702300603453e10
-0.1,-0.1,1.9466646443739706e8,2.7035456207272015e9,1.0e8,-2.6088791562898045e9
-1.1,-1.2,0.0,1.674078712816221e10,1.0e8,-1.684078712816221e10
0.1,-1.2,0.0,1.526856258525543e10,1.0e8,-1.536856258525543e10
-1.4,-1.7,0.0,0.0,1.0e8,-1.0e8
2.2,0.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.1,0.0,0.0,1.0e8,-1.0e8
-2.1,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.4,-0.8,1457.4893374486467,1.3726959760348272e10,1.0e8,-1.3826958302858934e10
2.0,-0.4,0.0,1.1933888608893804e7,1.0e8,-1.1193388860889381e8
2.3,0.5,0.0,0.0,1.0e8,-1.0e8
0.2,-1.0,809.1401838403358,1.3692888684074987e10,1.0e8,-1.3792887874934803e10
-0.7,-1.4,0.0,1.6714758102071589e10,1.0e8,-1.6814758102071589e10
1.2,-1.5,0.0,7.725988470615184e9,1.0e8,-7.825988470615184e9
-1.3,-2.0,0.0,0.0,1.0e8,-1.0e8
0.0,-1.9,0.0,9.47727535102376e9,1.0e8,-9.57727535102376e9
2.1,1.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.0,0.0,0.0,1.0e8,-1.0e8
-1.3,1.7,0.0,0.0,1.0e8,-1.0e8
0.3,2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.3,2.7537489399296287e6,7.376535674181853e9,1.0e8,-7.473781925241923e9
-0.1,1.4,0.0,1.6250039174138956e10,1.0e8,-1.6350039174138956e10
0.2,-0.6,364255.5507222832,9.191806691153984e9,1.0e8,-9.291442435603262e9
0.7,-1.7,0.0,1.0955203441998386e10,1.0e8,-1.1055203441998386e10
-1.1,1.8,0.0,0.0,1.0e8,-1.0e8
0.1,1.8,0.0,1.2432273196444983e10,1.0e8,-1.2532273196444983e10
2.5,1.2,0.0,0.0,1.0e8,-1.0e8
1.9,-1.8,0.0,0.0,1.0e8,-1.0e8
-1.3,1.6,0.0,143682.2205595117,1.0e8,-1.0014368222055951e8
2.4,-1.9,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.1,84808.10106760297,1.0695490117422321e10,1.0e8,-1.0795405309321253e10
-0.9,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.2,0.0,0.0,1.0e8,-1.0e8
0.2,-0.7,83325.55924644758,1.0455284254589413e10,1.0e8,-1.0555200929030167e10
-0.2,0.2,2.595274603324018e7,5.005741738638148e9,1.0e8,-5.079788992604908e9
2.3,0.3,0.0,0.0,1.0e8,-1.0e8
1.9,0.6,0.0,2.328770735772777e9,1.0e8,-2.428770735772777e9
-0.1,0.8,12110.836252786505,1.2085551250772722e10,1.0e8,-1.218553913993647e10
-1.0,-0.1,0.0,1.6055259497408766e10,1.0e8,-1.6155259497408766e10
1.2,1.1,0.0,1.3525963126388126e10,1.0e8,-1.3625963126388126e10
-2.2,1.2,0.0,0.0,1.0e8,-1.0e8
-1.5,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.3,0.0,1.3712071546855495e10,1.0e8,-1.3812071546855495e10
-1.7,-2.0,0.0,0.0,1.0e8,-1.0e8
-0.4,2.1,0.0,0.0,1.0e8,-1.0e8
1.1,-1.3,0.0,1.2966512261204693e10,1.0e8,-1.3066512261204693e10
-1.1,-0.5,0.0,1.7594665695964005e10,1.0e8,-1.7694665695964005e10
0.1,-0.5,1.8670225995386923e6,7.697700761976953e9,1.0e8,-7.795833739377414e9
-0.8,1.9,0.0,77747.14716126403,1.0e8,-1.0007774714716126e8
1.2,1.0,0.0,1.3879854186520758e10,1.0e8,-1.3979854186520758e10
-1.7,1.7,0.0,0.0,1.0e8,-1.0e8
-0.4,2.4,0.0,0.0,1.0e8,-1.0e8
-0.6,1.4,0.0,1.6807967694877993e10,1.0e8,-1.6907967694877993e10
1.5,-1.3,0.0,3.047279477814472e9,1.0e8,-3.147279477814472e9
1.9,-0.3,0.0,7.158364676727147e9,1.0e8,-7.258364676727147e9
-1.9,-1.0,0.0,0.0,1.0e8,-1.0e8
-2.3,0.7,0.0,0.0,1.0e8,-1.0e8
0.9,0.7,601.9314485283384,1.3281769987239115e10,1.0e8,-1.3381769385307667e10
-1.0,1.4,0.0,1.5323677865386305e10,1.0e8,-1.5423677865386305e10
-2.5,1.9,0.0,0.0,1.0e8,-1.0e8
-1.6,0.7,0.0,1.5546571842762884e10,1.0e8,-1.5646571842762884e10
0.0,1.3,0.0,1.5886378584376196e10,1.0e8,-1.5986378584376196e10
-1.7,1.6,0.0,0.0,1.0e8,-1.0e8
-0.9,2.5,0.0,0.0,1.0e8,-1.0e8
0.2,-0.9,3879.6720407033968,1.2729169455014704e10,1.0e8,-1.2829165575342663e10
1.3,0.7,0.0,1.3901856920182402e10,1.0e8,-1.4001856920182402e10
-0.6,0.8,165.43084162500048,1.517847948314918e10,1.0e8,-1.5278479317718338e10
2.2,-1.7,0.0,0.0,1.0e8,-1.0e8
-1.2,2.3,0.0,0.0,1.0e8,-1.0e8
0.0,-1.6,0.0,1.5434603997660671e10,1.0e8,-1.5534603997660671e10
0.6,0.2,902219.8691689655,8.277470229536332e9,1.0e8,-8.376568009667163e9
-1.0,0.8,0.0,1.7667860429860634e10,1.0e8,-1.7767860429860634e10
-0.9,-0.8,0.0,1.7191636034808315e10,1.0e8,-1.7291636034808315e10
-1.9,-0.6,0.0,3.327701393329478e9,1.0e8,-3.427701393329478e9
-1.8,0.2,0.0,1.4162126373089758e10,1.0e8,-1.4262126373089758e10
0.0,0.9,3436.908715236242,1.2924880492868528e10,1.0e8,-1.3024877055959814e10
1.6,-1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.2,0.0,0.0,1.0e8,-1.0e8
1.7,-1.9,0.0,0.0,1.0e8,-1.0e8
-2.0,1.9,0.0,0.0,1.0e8,-1.0e8
0.0,-2.3,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.7,0.0,9.421941694940803e8,1.0e8,-1.0421941694940803e9
-2.1,0.2,0.0,0.0,1.0e8,-1.0e8
2.4,1.3,0.0,0.0,1.0e8,-1.0e8
0.4,-1.2,0.0,1.5009376551956371e10,1.0e8,-1.5109376551956371e10
-2.3,-1.1,0.0,0.0,1.0e8,-1.0e8
-2.3,0.1,0.0,0.0,1.0e8,-1.0e8
0.9,-1.1,0.0,1.4553829145884808e10,1.0e8,-1.4653829145884808e10
0.9,0.1,26247.519452218035,1.1049639308908424e10,1.0e8,-1.1149613061388971e10
2.4,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.6,-1.1,0.0,8.149135684842262e9,1.0e8,-8.249135684842262e9
-1.6,0.1,0.0,1.7711176671840343e10,1.0e8,-1.7811176671840343e10
1.3,-1.1,0.0,1.271409810027974e10,1.0e8,-1.281409810027974e10
1.3,0.1,0.0,1.3523027558676657e10,1.0e8,-1.3623027558676657e10
0.8,1.5,0.0,1.3380813507239605e10,1.0e8,-1.3480813507239605e10
2.4,0.9,0.0,0.0,1.0e8,-1.0e8
-0.8,-2.1,0.0,0.0,1.0e8,-1.0e8
1.4,1.5,0.0,230919.3224183978,1.0e8,-1.0023091932241839e8
-1.4,-1.3,0.0,9.97302278063406e9,1.0e8,-1.007302278063406e10
-0.2,-1.7,0.0,1.4477773410224457e10,1.0e8,-1.4577773410224457e10
2.4,-2.3,0.0,0.0,1.0e8,-1.0e8
2.1,-2.4,0.0,0.0,1.0e8,-1.0e8
-1.3,2.5,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.2,6.999555661301176e6,6.42112055308084e9,1.0e8,-6.5141209974195385e9
0.8,-1.5,0.0,1.3380813507239605e10,1.0e8,-1.3480813507239605e10
-0.3,0.4,886201.5209250234,8.486069545072139e9,1.0e8,-8.585183343551214e9
-2.4,2.3,0.0,0.0,1.0e8,-1.0e8
-1.1,0.5,0.0,1.7594665695964016e10,1.0e8,-1.7694665695964016e10
-2.5,-2.1,0.0,0.0,1.0e8,-1.0e8
0.1,0.5,1.8670225995386923e6,7.697700761976953e9,1.0e8,-7.795833739377414e9
1.4,-1.5,0.0,230919.3224183978,1.0e8,-1.0023091932241839e8
-1.7,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.7,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,1.8,0.0,1.1086766962969702e10,1.0e8,-1.1186766962969702e10
-0.9,2.1,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.9,0.0,0.0,1.0e8,-1.0e8
-0.4,0.0,3.162822789625056e6,7.24987629472789e9,1.0e8,-7.346713471938265e9
2.1,2.0,0.0,0.0,1.0e8,-1.0e8
-1.3,-0.8,0.0,1.7879897071941257e10,1.0e8,-1.7979897071941257e10
0.2,-0.1,1.2397453429250923e8,3.218185139391399e9,1.0e8,-3.19421060509889e9
0.7,-1.3,0.0,1.487713909751605e10,1.0e8,-1.497713909751605e10
-0.9,2.4,0.0,0.0,1.0e8,-1.0e8
2.5,-2.4,0.0,0.0,1.0e8,-1.0e8
0.3,-1.9,0.0,8.178401828767134e9,1.0e8,-8.278401828767134e9
1.0,-1.0,0.0,1.4376552460455692e10,1.0e8,-1.4476552460455692e10
-2.3,-1.4,0.0,0.0,1.0e8,-1.0e8
-0.8,-1.8,0.0,5.143860415271824e9,1.0e8,-5.243860415271824e9
0.9,-1.4,0.0,1.36354991428645e10,1.0e8,-1.37354991428645e10
1.1,-1.0,0.0,1.4218110771515615e10,1.0e8,-1.4318110771515615e10
0.4,-0.5,509833.98442339466,8.842118772214497e9,1.0e8,-8.941608938230074e9
-1.6,-1.4,0.0,0.0,1.0e8,-1.0e8
