qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,3.1546738270727486e10,1.0e8,-3.1646738270727486e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.777711698354104e10,1.0e8,-1.787711698354104e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,10381.10185762273,1.9708801751263833e9,1.0e8,-2.0708697940245256e9
0.5,0.0,2.2196050767284594e9,2.7112093453700507e8,1.0e8,1.8484841421914544e9
-0.1,-0.9,433.11463317716544,1.480785020041926e10,1.0e8,-1.4907849767304626e10
-0.6,-0.7,0.0,2.387158451103456e10,1.0e8,-2.397158451103456e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,1.0332451366892778e6,1.0e8,-1.0103324513668928e8
-0.2,0.9,0.0,1.6756785688784508e10,1.0e8,-1.6856785688784508e10
-1.0,-0.7,0.0,3.145951825316583e10,1.0e8,-3.155951825316583e10
-0.5,-0.4,0.0,1.927499994076725e10,1.0e8,-1.937499994076725e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,2.40758163612451e9,2.0316121941402614e8,1.0e8,2.1044204167104836e9
-1.2,1.1,0.0,2.9197258726647274e10,1.0e8,-2.9297258726647274e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,4.947515187123883e6,1.0e8,-1.0494751518712388e8
0.8,-1.4,196427.98743038587,5.850143271900711e9,1.0e8,-5.9499468439132805e9
-0.7,-1.1,0.0,2.6597322779430458e10,1.0e8,-2.6697322779430458e10
-0.7,0.1,0.0,2.3771372548093426e10,1.0e8,-2.3871372548093426e10
-1.2,1.0,0.0,3.0728714802676388e10,1.0e8,-3.0828714802676388e10
1.8,0.0,3.166329945878385e9,1.6343651673601663e6,1.0e8,3.0646955807110248e9
1.4,-1.4,1.1588112285455434e7,5.538626704987051e8,1.0e8,-6.422745582132497e8
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,80237.78001508427,7.68011889980137e9,1.0e8,-7.780038662021355e9
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,1.308195489046449e10,1.0e8,-1.318195489046449e10
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,2.479866450298753e10,1.0e8,-2.489866450298753e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,787.10774659684,8.051468900866003e9,1.0e8,-8.151468113758257e9
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,3.0880034934863712e10,1.0e8,-3.0980034934863712e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,1.7052966716169506e7,4.514220968222821e9,1.0e8,-4.597168001506652e9
-0.9,1.6,0.0,1.8859198815901943e10,1.0e8,-1.8959198815901943e10
-1.8,0.9,0.0,5.450531525701321e9,1.0e8,-5.550531525701321e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.4530761607934944e10,1.0e8,-1.4630761607934944e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,1.6072623002006197e6,1.9098392558061333e9,1.0e8,-2.0082319935059326e9
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.3,0.6,362.41564017892193,1.5862867884880247e10,1.0e8,-1.5962867522464607e10
-0.1,-0.1,4.893947956764386e7,4.323555574579066e9,1.0e8,-4.374616095011423e9
-1.1,-1.2,0.0,2.804652521852582e10,1.0e8,-2.814652521852582e10
0.1,-1.2,181.66959914976678,1.389371372109489e10,1.0e8,-1.3993713539425291e10
-1.4,-1.7,0.0,0.0,1.0e8,-1.0e8
2.2,0.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.1,0.0,0.0,1.0e8,-1.0e8
-2.1,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.4,-0.8,0.0,2.0082069474511703e10,1.0e8,-2.0182069474511703e10
2.0,-0.4,321.1516775745389,0.0,1.0e8,-9.999967884832242e7
2.3,0.5,0.0,0.0,1.0e8,-1.0e8
