qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,4.06969324876701e10,1.0e8,-4.07969324876701e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.921709789617438e10,1.0e8,-1.931709789617438e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,1.4129300131960204e8,2.0562718163655338e8,1.0e8,-1.6433418031695133e8
0.5,0.0,7.411478414639872e9,2.5123309038742245e6,1.0e8,7.308966083735997e9
-0.1,-0.9,140.1791638847581,1.5864757338613274e10,1.0e8,-1.596475719843411e10
-0.6,-0.7,0.0,2.991213207125246e10,1.0e8,-3.001213207125246e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,25844.34496618126,3362.4624914271676,1.0e8,-9.997751811752525e7
-0.2,0.9,0.0,1.8815789188487846e10,1.0e8,-1.8915789188487846e10
-1.0,-0.7,0.0,4.039449220867793e10,1.0e8,-4.049449220867793e10
-0.5,-0.4,0.0,2.462412494752733e10,1.0e8,-2.472412494752733e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,9.561653063206326e9,210913.65840547933,1.0e8,9.46144214954792e9
-1.2,1.1,0.0,3.708024153877269e10,1.0e8,-3.718024153877269e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,1.1279160913510239e6,1.0e8,-1.0112791609135102e8
0.8,-1.4,3.5548011626798654e8,8.589516225198792e8,1.0e8,-6.034715062518927e8
-0.7,-1.1,0.0,3.2656241890358685e10,1.0e8,-3.2756241890358685e10
-0.7,0.1,0.0,3.1115124263207653e10,1.0e8,-3.1215124263207653e10
-1.2,1.0,0.0,3.919294985208317e10,1.0e8,-3.929294985208317e10
1.8,0.0,1.2035617758245935e10,0.0,1.0e8,1.1935617758245935e10
