qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,3.2199719343226772e10,1.0e8,-3.2299719343226772e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.7878029143403347e10,1.0e8,-1.7978029143403347e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,22565.82933382483,1.8426760912229273e9,1.0e8,-1.9426535253935935e9
0.5,0.0,2.542215724446715e9,2.0392816561443368e8,1.0e8,2.238287558832281e9
-0.1,-0.9,399.78009787275886,1.4882410091152739e10,1.0e8,-1.498240969137264e10
-0.6,-0.7,0.0,2.4301785379511604e10,1.0e8,-2.4401785379511604e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,684884.799869727,1.0e8,-1.0068488479986973e8
-0.2,0.9,0.0,1.6902662082844156e10,1.0e8,-1.7002662082844156e10
-1.0,-0.7,0.0,3.2096844091903393e10,1.0e8,-3.2196844091903393e10
-0.5,-0.4,0.0,1.9656482100729828e10,1.0e8,-1.9756482100729828e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,2.8636060926565547e9,1.341224637947301e8,1.0e8,2.6294836288618245e9
-1.2,1.1,0.0,2.975873288308916e10,1.0e8,-2.985873288308916e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,4.432018913172838e6,1.0e8,-1.0443201891317284e8
0.8,-1.4,360685.31695279834,5.469832899205863e9,1.0e8,-5.56947221388891e9
-0.7,-1.1,0.0,2.702803532449872e10,1.0e8,-2.712803532449872e10
-0.7,0.1,0.0,2.429619589038625e10,1.0e8,-2.439619589038625e10
-1.2,1.0,0.0,3.1331936079600132e10,1.0e8,-3.1431936079600132e10
1.8,0.0,3.7984507552076044e9,431467.56788272545,1.0e8,3.698019287639722e9
1.4,-1.4,2.7590173011373267e7,4.0625688734866637e8,1.0e8,-4.786667143372931e8
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,126959.72296937722,7.344000975696627e9,1.0e8,-7.443874015973658e9
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,1.3270343638748022e10,1.0e8,-1.3370343638748022e10
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,2.5207603980209923e10,1.0e8,-2.5307603980209923e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,1274.5275658176465,7.802613813889281e9,1.0e8,-7.902612539361715e9
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,3.1476609162348904e10,1.0e8,-3.1576609162348904e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,2.5758978341285385e7,4.1168445222259083e9,1.0e8,-4.191085543884623e9
-0.9,1.6,0.0,1.9150049998266106e10,1.0e8,-1.9250049998266106e10
-1.8,0.9,0.0,5.653606228170235e9,1.0e8,-5.753606228170235e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.4637323329227728e10,1.0e8,-1.4737323329227728e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,3.790347725624478e6,1.6416935317219138e9,1.0e8,-1.7379031839962893e9
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
