qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,3.4159137195007324e10,1.0e8,-3.4259137195007324e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.8182485364213367e10,1.0e8,-1.8282485364213367e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,221841.76362566696,1.4501175407162952e9,1.0e8,-1.5498956989526696e9
0.5,0.0,3.589461493385234e9,8.155047908656433e7,1.0e8,3.4079110142986693e9
-0.1,-0.9,314.24543108024903,1.5106918063590414e10,1.0e8,-1.5206917749344982e10
-0.6,-0.7,0.0,2.5593445967220245e10,1.0e8,-2.5693445967220245e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,96.12678598870303,199737.70894330047,1.0e8,-1.0019964158215731e8
-0.2,0.9,0.0,1.7341331509949745e10,1.0e8,-1.7441331509949745e10
-1.0,-0.7,0.0,3.4009535802713314e10,1.0e8,-3.4109535802713314e10
-0.5,-0.4,0.0,2.08014185453191e10,1.0e8,-2.09014185453191e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,4.339818117681109e9,3.4757228730849534e7,1.0e8,4.20506088895026e9
-1.2,1.1,0.0,3.144445329612066e10,1.0e8,-3.154445329612066e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,3.198839735963986e6,1.0e8,-1.0319883973596399e8
0.8,-1.4,2.1442899032934452e6,4.329101266745953e9,1.0e8,-4.426956976842659e9
-0.7,-1.1,0.0,2.8321916072378582e10,1.0e8,-2.8421916072378582e10
-0.7,0.1,0.0,2.587041272336039e10,1.0e8,-2.597041272336039e10
-1.2,1.0,0.0,3.3142706483301678e10,1.0e8,-3.3242706483301678e10
1.8,0.0,5.698540187105674e9,6893.331236776401,1.0e8,5.598533293774437e9
1.4,-1.4,2.1039194960734978e8,9.058288900797218e7,1.0e8,1.9809060599377602e7
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,498880.3402450372,6.335212569826553e9,1.0e8,-6.434713689486308e9
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,1.3835259321203745e10,1.0e8,-1.3935259321203745e10
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,2.6435832124388187e10,1.0e8,-2.6535832124388187e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,5261.220477795994,7.055424495603699e9,1.0e8,-7.155419234383221e9
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,3.326751572675732e10,1.0e8,-3.336751572675732e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,8.404882509745346e7,2.956149310418706e9,1.0e8,-2.9721004853212523e9
-0.9,1.6,0.0,2.0025289726425182e10,1.0e8,-2.0125289726425182e10
-1.8,0.9,0.0,6.278686721452866e9,1.0e8,-6.378686721452866e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.495961547395067e10,1.0e8,-1.505961547395067e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,4.123001188986167e7,8.648534820415305e8,1.0e8,-9.236234701516688e8
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.3,0.6,139.1184941886588,1.6781712500549246e10,1.0e8,-1.6881712361430752e10
-0.1,-0.1,3.746973484891789e7,4.634046037083531e9,1.0e8,-4.696576302234613e9
-1.1,-1.2,0.0,3.0112889251953865e10,1.0e8,-3.0212889251953865e10
0.1,-1.2,249.8190241848394,1.3648909819664682e10,1.0e8,-1.3748909569845657e10
-1.4,-1.7,0.0,0.0,1.0e8,-1.0e8
2.2,0.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.1,0.0,0.0,1.0e8,-1.0e8
-2.1,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.4,-0.8,0.0,2.124593092772686e10,1.0e8,-2.134593092772686e10
2.0,-0.4,13151.552943555882,0.0,1.0e8,-9.998684844705644e7
2.3,0.5,0.0,0.0,1.0e8,-1.0e8
0.2,-1.0,47938.99818447903,1.0130273643868671e10,1.0e8,-1.0230225704870487e10
-0.7,-1.4,0.0,2.5892036169607506e10,1.0e8,-2.5992036169607506e10
1.2,-1.5,4.123001188986167e7,8.648534820415305e8,1.0e8,-9.236234701516688e8
-1.3,-2.0,0.0,0.0,1.0e8,-1.0e8
0.0,-1.9,0.0,9.627308734844822e9,1.0e8,-9.727308734844822e9
2.1,1.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.0,0.0,0.0,1.0e8,-1.0e8
-1.3,1.7,0.0,0.0,1.0e8,-1.0e8
0.3,2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.3,7139.698654607652,1.350983977817985e10,1.0e8,-1.3609832638481195e10
-0.1,1.4,0.0,1.780903114632458e10,1.0e8,-1.790903114632458e10
0.2,-0.6,1.6562706044640513e7,5.256965396196062e9,1.0e8,-5.340402690151422e9
0.7,-1.7,5072.898944159666,5.266376865376018e9,1.0e8,-5.366371792477074e9
-1.1,1.8,0.0,166.17336217142656,1.0e8,-1.0000016617336217e8
0.1,1.8,0.0,1.1633341694945105e10,1.0e8,-1.1733341694945105e10
2.5,1.2,0.0,0.0,1.0e8,-1.0e8
1.9,-1.8,0.0,0.0,1.0e8,-1.0e8
-1.3,1.6,0.0,8.729706516693774e8,1.0e8,-9.729706516693774e8
2.4,-1.9,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.1,0.0,2.261735848842011e10,1.0e8,-2.271735848842011e10
-0.9,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.2,0.0,0.0,1.0e8,-1.0e8
0.2,-0.7,4.1585254432400805e6,6.585160402670746e9,1.0e8,-6.681001877227506e9
-0.2,0.2,596532.7947244705,9.124223447108131e9,1.0e8,-9.223626914313406e9
2.3,0.3,0.0,0.0,1.0e8,-1.0e8
1.9,0.6,1.0198200631643541e9,2659.062204579098,1.0e8,9.198174041021495e8
-0.1,0.8,1576.7106841379193,1.4038124440606485e10,1.0e8,-1.4138122863895802e10
-1.0,-0.1,0.0,3.408058871956906e10,1.0e8,-3.418058871956906e10
1.2,1.1,1.2401231051199036e9,1.8812838001978096e8,1.0e8,9.519947251001226e8
-2.2,1.2,0.0,0.0,1.0e8,-1.0e8
-1.5,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.3,7.489412636927857e7,1.8334531026870346e9,1.0e8,-1.858558976317756e9
-1.7,-2.0,0.0,0.0,1.0e8,-1.0e8
-0.4,2.1,0.0,0.0,1.0e8,-1.0e8
1.1,-1.3,1.7793463589838177e8,1.0933056391343098e9,1.0e8,-1.015371003235928e9
-1.1,-0.5,0.0,3.588563974864771e10,1.0e8,-3.598563974864771e10
0.1,-0.5,1.2318819525309674e7,5.703505045002864e9,1.0e8,-5.791186225477554e9
-0.8,1.9,0.0,2.0722413641467866e8,1.0e8,-3.072241364146787e8
1.2,1.0,1.8884630184584448e9,9.466748151117344e7,1.0e8,1.6937955369472713e9
-1.7,1.7,0.0,0.0,1.0e8,-1.0e8
-0.4,2.4,0.0,0.0,1.0e8,-1.0e8
-0.6,1.4,0.0,2.5009304819391003e10,1.0e8,-2.5109304819391003e10
1.5,-1.3,4.12879337432112e8,1.6884093310817845e7,1.0e8,2.9599524412129414e8
1.9,-0.3,3.687408341774097e9,3089.339587822955,1.0e8,3.5874052524345093e9
-1.9,-1.0,0.0,0.0,1.0e8,-1.0e8
-2.3,0.7,0.0,0.0,1.0e8,-1.0e8
0.9,0.7,2.3287524222259626e9,1.4557810970477998e8,1.0e8,2.0831743125211825e9
-1.0,1.4,0.0,2.601200699278018e10,1.0e8,-2.611200699278018e10
-2.5,1.9,0.0,0.0,1.0e8,-1.0e8
-1.6,0.7,0.0,3.167177587903912e10,1.0e8,-3.177177587903912e10
0.0,1.3,0.0,1.5946151544804287e10,1.0e8,-1.6046151544804287e10
-1.7,1.6,0.0,0.0,1.0e8,-1.0e8
-0.9,2.5,0.0,0.0,1.0e8,-1.0e8
0.2,-0.9,222038.10573361654,9.048351038063313e9,1.0e8,-9.148128999957579e9
1.3,0.7,4.448186182099624e9,4.6131921134296525e6,1.0e8,4.343572989986194e9
-0.6,0.8,0.0,2.607222001897005e10,1.0e8,-2.617222001897005e10
2.2,-1.7,0.0,0.0,1.0e8,-1.0e8
-1.2,2.3,0.0,0.0,1.0e8,-1.0e8
0.0,-1.6,0.0,1.5514938567490332e10,1.0e8,-1.5614938567490332e10
0.6,0.2,3.6976068286906323e9,6.802708294056481e7,1.0e8,3.5295797457500677e9
-1.0,0.8,0.0,3.3726639029285263e10,1.0e8,-3.3826639029285263e10
-0.9,-0.8,0.0,3.2224026426040173e10,1.0e8,-3.2324026426040173e10
-1.9,-0.6,0.0,8.893190513345404e9,1.0e8,-8.993190513345404e9
-1.8,0.2,0.0,2.9746661507447926e10,1.0e8,-2.9846661507447926e10
0.0,0.9,3451.92447697752,1.2965006742368042e10,1.0e8,-1.3065003290443565e10
1.6,-1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.2,0.0,0.0,1.0e8,-1.0e8
1.7,-1.9,0.0,0.0,1.0e8,-1.0e8
-2.0,1.9,0.0,0.0,1.0e8,-1.0e8
0.0,-2.3,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.7,0.0,5.271407925637043e9,1.0e8,-5.371407925637043e9
-2.1,0.2,0.0,1.3855642006543668e7,1.0e8,-1.1385564200654367e8
2.4,1.3,0.0,0.0,1.0e8,-1.0e8
0.4,-1.2,85075.82401497047,8.564425244816598e9,1.0e8,-8.664340168992584e9
-2.3,-1.1,0.0,0.0,1.0e8,-1.0e8
-2.3,0.1,0.0,0.0,1.0e8,-1.0e8
0.9,-1.1,2.175776554446965e8,1.537919279798119e9,1.0e8,-1.4203416243534226e9
0.9,0.1,5.742869272264006e9,6.93589035879544e6,1.0e8,5.6359333819052105e9
2.4,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.6,-1.1,0.0,1.4439575589130352e10,1.0e8,-1.4539575589130352e10
-1.6,0.1,0.0,3.757499773542762e10,1.0e8,-3.767499773542762e10
1.3,-1.1,1.6185724389398475e9,7.571672654379955e7,1.0e8,1.4428557123960478e9
1.3,0.1,7.099433439877591e9,403562.3733907832,1.0e8,6.9990298775042e9
0.8,1.5,522947.8996565807,4.603725825610761e9,1.0e8,-4.703202877711104e9
2.4,0.9,0.0,0.0,1.0e8,-1.0e8
-0.8,-2.1,0.0,0.0,1.0e8,-1.0e8
1.4,1.5,0.0,0.0,1.0e8,-1.0e8
-1.4,-1.3,0.0,1.796413660956517e10,1.0e8,-1.806413660956517e10
-0.2,-1.7,0.0,1.6737850049437561e10,1.0e8,-1.6837850049437561e10
2.4,-2.3,0.0,0.0,1.0e8,-1.0e8
2.1,-2.4,0.0,0.0,1.0e8,-1.0e8
-1.3,2.5,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.2,19442.509997904388,1.2580857988471214e10,1.0e8,-1.2680838545961216e10
0.8,-1.5,522947.8996565807,4.603725825610761e9,1.0e8,-4.703202877711104e9
-0.3,0.4,2157.4571235046383,1.4573265654342848e10,1.0e8,-1.4673263496885725e10
-2.4,2.3,0.0,0.0,1.0e8,-1.0e8
-1.1,0.5,0.0,3.5885639748647705e10,1.0e8,-3.5985639748647705e10
-2.5,-2.1,0.0,0.0,1.0e8,-1.0e8
0.1,0.5,1.2318819525309674e7,5.703505045002864e9,1.0e8,-5.791186225477554e9
1.4,-1.5,0.0,0.0,1.0e8,-1.0e8
-1.7,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.7,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,1.8,0.0,7.950679541579778e9,1.0e8,-8.050679541579778e9
-0.9,2.1,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.9,0.0,2.339113440918669e7,1.0e8,-1.2339113440918669e8
-0.4,0.0,1071.6433898176815,1.5420588181797018e10,1.0e8,-1.5520587110153627e10
2.1,2.0,0.0,0.0,1.0e8,-1.0e8
-1.3,-0.8,0.0,3.540095812216632e10,1.0e8,-3.550095812216632e10
0.2,-0.1,1.5799700159978986e9,5.171935008939606e8,1.0e8,9.62776515103938e8
0.7,-1.3,2.1403167973016924e6,5.029925502856689e9,1.0e8,-5.127785186059388e9
-0.9,2.4,0.0,0.0,1.0e8,-1.0e8
2.5,-2.4,0.0,0.0,1.0e8,-1.0e8
0.3,-1.9,0.0,6.645944381977706e9,1.0e8,-6.745944381977706e9
1.0,-1.0,9.028699999340976e8,4.945484325194779e8,1.0e8,3.0832156741461974e8
-2.3,-1.4,0.0,0.0,1.0e8,-1.0e8
-0.8,-1.8,0.0,7.812612625943614e9,1.0e8,-7.912612625943614e9
0.9,-1.4,7.661417875559159e6,3.2299207097582273e9,1.0e8,-3.322259291882668e9
1.1,-1.0,1.395569272287997e9,2.2539813691375569e8,1.0e8,1.0701711353742414e9
0.4,-0.5,5.2406527141623294e8,1.4453122404376225e9,1.0e8,-1.0212469690213896e9
-1.6,-1.4,0.0,0.0,1.0e8,-1.0e8
-0.5,1.2,0.0,2.480717563423196e10,1.0e8,-2.490717563423196e10
-2.2,-2.4,0.0,0.0,1.0e8,-1.0e8
1.6,1.3,0.0,0.0,1.0e8,-1.0e8
1.3,-1.4,2.2973079236476907e8,3.5275615754205054e8,1.0e8,-2.2302536517728147e8
1.7,1.3,0.0,0.0,1.0e8,-1.0e8
-2.0,-2.1,0.0,0.0,1.0e8,-1.0e8
0.8,1.1,8.46519771020755e7,2.452966184775446e9,1.0e8,-2.4683142076733704e9
-0.8,0.6,0.0,3.0078913812095356e10,1.0e8,-3.0178913812095356e10
-1.1,0.3,0.0,3.6086007142654495e10,1.0e8,-3.6186007142654495e10
0.6,-1.7,995.3703056177097,6.551972924630726e9,1.0e8,-6.65197192926042e9
1.6,-1.6,0.0,0.0,1.0e8,-1.0e8
0.1,0.3,1.6216163833546665e8,2.8890166580566607e9,1.0e8,-2.826855019721194e9
1.4,1.1,1.8669338714102638e9,2.8066366767475598e7,1.0e8,1.7388675046427882e9
-1.8,-1.7,0.0,0.0,1.0e8,-1.0e8
1.0,-0.6,3.747919593144512e9,3.166569378402786e7,1.0e8,3.616253899360484e9
-0.7,1.5,0.0,2.416565254328553e10,1.0e8,-2.426565254328553e10
-2.5,-1.8,0.0,0.0,1.0e8,-1.0e8
1.7,-1.6,0.0,0.0,1.0e8,-1.0e8
1.5,-1.0,2.6123078381327376e9,4.988401141964277e6,1.0e8,2.507319436990773e9
1.6,0.9,3.1108080568763766e9,902635.6925418685,1.0e8,3.0099054211838346e9
1.1,-0.6,4.3102323276556425e9,1.3683531835536955e7,1.0e8,4.1965487958201056e9
0.2,1.4,0.0,1.2838368068239735e10,1.0e8,-1.2938368068239735e10
1.9,-0.2,4.0421104774240346e9,2701.420982361964,1.0e8,3.942107776003052e9
0.8,1.0,2.2630456734558287e8,1.7212578199777079e9,1.0e8,-1.594953252632125e9
1.9,0.4,3.162608524173114e9,3560.9459812382643,1.0e8,3.062604963227133e9
1.7,0.9,2.411393390137951e9,267204.7018160534,1.0e8,2.311126185436135e9
0.5,1.9,0.0,3.797373609792247e9,1.0e8,-3.897373609792247e9
-0.7,-1.5,0.0,2.416565254328553e10,1.0e8,-2.426565254328553e10
-2.5,0.6,0.0,0.0,1.0e8,-1.0e8
2.3,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.7,0.0,0.0,1.0e8,-1.0e8
1.6,-2.3,0.0,0.0,1.0e8,-1.0e8
1.0,-0.7,2.992094198328146e9,6.31883163192621e7,1.0e8,2.828905882008884e9
-0.1,-0.4,746332.7683666225,8.790904827496584e9,1.0e8,-8.890158494728218e9
-1.7,-0.8,0.0,2.3250203950829853e10,1.0e8,-2.3350203950829853e10
0.2,0.8,977219.118918874,7.858623374809141e9,1.0e8,-7.957646155690223e9
1.1,-0.7,3.5862656412830606e9,2.6776320655058965e7,1.0e8,3.4594893206280017e9
1.7,-2.3,0.0,0.0,1.0e8,-1.0e8
1.4,1.0,2.564188784528317e9,1.4054894422864852e7,1.0e8,2.450133890105452e9
-2.2,2.0,0.0,0.0,1.0e8,-1.0e8
2.5,2.0,0.0,0.0,1.0e8,-1.0e8
1.5,-0.6,5.319658455771211e9,435664.3436906008,1.0e8,5.21922279142752e9
-0.8,-0.3,0.0,2.925999629774542e10,1.0e8,-2.935999629774542e10
2.3,1.7,0.0,0.0,1.0e8,-1.0e8
1.8,1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,2.1,0.0,0.0,1.0e8,-1.0e8
-1.5,0.7,0.0,3.44559376656249e10,1.0e8,-3.45559376656249e10
1.2,2.3,0.0,0.0,1.0e8,-1.0e8
-1.7,2.5,0.0,0.0,1.0e8,-1.0e8
0.0,0.2,1.149948023122551e8,3.3239804561841536e9,1.0e8,-3.3089856538718987e9
2.2,-1.3,0.0,0.0,1.0e8,-1.0e8
-2.0,-1.8,0.0,0.0,1.0e8,-1.0e8
1.5,-0.7,4.707237571949456e9,752257.8448360637,1.0e8,4.60648531410462e9
-1.2,-1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,2.4,0.0,0.0,1.0e8,-1.0e8
2.3,1.6,0.0,0.0,1.0e8,-1.0e8
-2.5,-0.3,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.1,0.0,2.155662838656816e10,1.0e8,-2.165662838656816e10
-2.0,0.6,0.0,5.272913493394398e8,1.0e8,-6.272913493394399e8
-0.7,1.1,0.0,2.8321916072378582e10,1.0e8,-2.8421916072378582e10
0.3,1.3,2908.8389933752487,1.0815902090554262e10,1.0e8,-1.091589918171527e10
