s,Fx
0.0,-9.626079549344716
0.1,-520.0986285928233
0.2,-1112.5498270762666
0.3,-1803.838892582876
0.4,-2615.28455540199
0.5,-3574.140079376473
0.6,-4714.941309319028
0.7,-6082.563048445375
0.8,-7733.890750718102
0.9,-9742.853009608629
1.0,-12204.968006620053
1.1,-15244.395283115979
1.2,-19022.787655786437
1.3,-23751.35904461663
1.4,-29707.159083632207
1.5,-37254.04864368634
1.6,-46871.30229400013
1.7,-59191.876570080996
1.8,-75053.6239835089
1.9,-95567.61495478779
2.0,-122211.70830159397
2.1,-156953.66425532944
2.2,-202418.08685484616
2.3,-262114.61971525569
2.4,-340739.0009239089
2.5,-444592.55264207424
2.6,-582134.6881285696
2.7,-764742.3707743279
2.8,-1.0077219281349122e6
2.9,-1.331724915229678e6
3.0,-1.7646166231722585e6
3.1,-2.3440633612326873e6
3.2,-3.1210153345027524e6
3.3,-4.1644612730876263e6
3.4,-5.56798350657945e6
3.5,-7.458679493542371e6
3.6,-1.0008707916621665e7
3.7,-1.3452684767711924e7
3.8,-1.810974244545647e7
3.9,-2.4414315735767957e7
4.0,-3.2959292347692013e7
4.1,-4.4552374007119626e7
4.2,-6.0296510371846676e7
4.3,-8.169979026418018e7
4.4,-1.1082593563192706e8
4.5,-1.5049761313179067e8
4.6,-2.045759318934866e8
4.7,-2.783586687365947e8
4.8,-3.7911682851719666e8
4.9,-5.1683342676701486e8
5.0,-7.052201869069333e8
5.1,-9.631143493416235e8
5.2,-1.3164588508205576e9
5.3,-1.8008943742689483e9
5.4,-2.4656422906584325e9
5.5,-3.3787278024357142e9
5.6,-4.633508878883771e9
5.7,-6.359367031048929e9
5.8,-8.734083998779099e9
5.9,-1.2005855057224329e10
6.0,-1.651597312880086e10
