s,Fx
0.0,5.21413977505589
0.1,-582.2067187487967
0.2,-1138.548942816307
0.3,-1671.108616771244
0.4,-2186.1237816156868
0.5,-2689.0080380910285
0.6,-3184.445458156973
0.7,-3676.801981853489
0.8,-4169.637650255145
0.9,-4666.52526262802
1.0,-5170.521125648901
1.1,-5684.69739122823
1.2,-6211.855891889197
1.3,-6754.729003652373
1.4,-7316.089313172329
1.5,-7898.613429938668
1.6,-8504.918444146537
1.7,-9137.737243619096
1.8,-9799.93263217233
1.9,-10494.260447789246
2.0,-11223.930553199776
2.1,-11991.940752731347
2.2,-12801.495924416218
2.3,-13656.21057658938
2.4,-14559.5654946548
2.5,-15515.518990936565
2.6,-16528.148356496844
2.7,-17601.695725219444
2.8,-18740.955416026012
2.9,-19950.802701970093
3.0,-21236.309680873386
3.1,-22603.164873415633
3.2,-24057.388995755937
3.3,-25605.233159249234
3.4,-27253.555272127665
3.5,-29009.870499322777
3.6,-30881.65782142621
3.7,-32877.324851820355
3.8,-35005.9145986514
3.9,-37276.987578937085
4.0,-39700.923227520754
4.1,-42288.26676704615
4.2,-45050.93024024805
4.3,-48001.24292943086
4.4,-51153.05275881437
4.5,-54520.176219273635
4.6,-58118.421123453576
4.7,-61963.8024454399
4.8,-66074.24841951707
4.9,-70468.78251911413
5.0,-75166.67209051056
5.1,-80191.41239672598
5.2,-85567.42159209869
5.3,-91309.30581390671
5.4,-97453.09728045865
5.5,-104026.5201293421
5.6,-111056.47067314624
5.7,-118573.550559452
5.8,-126608.73145475026
5.9,-135206.56995527443
6.0,-144401.75298557818
