s,Fx
0.0,-0.5565597865482559
0.1,-716.8094717733093
0.2,-1456.3677083764767
0.3,-2228.999496125518
0.4,-3045.3638172720193
0.5,-3917.357560249572
0.6,-4858.158189973139
0.7,-5883.108736378826
0.8,-7009.09848434428
0.9,-8256.004006598738
1.0,-9646.524458067272
1.1,-11207.198225741407
1.2,-12968.80608226475
1.3,-14967.332950050253
1.4,-17245.15005698583
1.5,-19851.897755166952
1.6,-22845.905820872398
1.7,-26296.0628768856
1.8,-30283.803077005246
1.9,-34905.154804574035
2.0,-40274.31847281206
2.1,-46526.29900022815
2.2,-53820.995353263796
2.3,-62349.143524942694
2.4,-72336.11026505199
2.5,-84051.37207460543
2.6,-97814.99610219162
2.7,-114008.13721466296
2.8,-133085.12454494304
2.9,-155588.00858031897
3.0,-182163.02669485533
3.1,-213583.10492447362
3.2,-250771.4669358874
3.3,-294830.15657383506
3.4,-347080.21271036816
3.5,-409107.2053892542
3.6,-482793.91119159467
3.7,-570412.3737225496
3.8,-674683.1386366686
3.9,-798864.7964189451
4.0,-946878.4574754825
4.1,-1.1234127653975394e6
4.2,-1.3341086407620453e6
4.3,-1.585749721461713e6
4.4,-1.8865086359001051e6
4.5,-2.2461850504377494e6
4.6,-2.6765657686580517e6
4.7,-3.191866808243682e6
4.8,-3.8092395351067777e6
4.9,-4.549345572085443e6
5.0,-5.437072200295921e6
5.1,-6.5024268395124655e6
5.2,-7.781808081596666e6
5.3,-9.318323150938323e6
5.4,-1.1165377530658845e7
5.5,-1.3387282666678997e7
5.6,-1.6060291244986746e7
5.7,-1.9278033135142885e7
5.8,-2.315166392766575e7
5.9,-2.7820764560322233e7
6.0,-3.3449294323274933e7
