s,Fx
0.0,-4.1443536204028
0.1,-664.9172726667929
0.2,-1384.2327648551811
0.3,-2175.188571016003
0.4,-3053.661532287668
0.5,-4039.1273144738375
0.6,-5155.2015648477345
0.7,-6431.413943639679
0.8,-7903.381674153421
0.9,-9615.603172709396
1.0,-11622.92608623263
1.1,-13993.581319635578
1.2,-16812.315835130776
1.3,-20184.78191315794
1.4,-24243.225848790455
1.5,-29153.045419555303
1.6,-35121.60693038453
1.7,-42409.55452040422
1.8,-51345.02802037579
1.9,-62341.3931393254
2.0,-75921.27645551159
2.1,-92745.09656405968
2.2,-113648.44686740704
2.3,-139692.0495199822
2.4,-172220.10912561062
2.5,-212943.8427795013
2.6,-264038.9819016602
2.7,-328276.9134431491
2.8,-409188.0516578733
2.9,-511281.864288843
3.0,-640315.6413002266
3.1,-803654.300852502
3.2,-1.0107209293604946e6
3.3,-1.2735798091471533e6
3.4,-1.6077094249111176e6
3.5,-2.0329926752896355e6
3.6,-2.5748507473495025e6
3.7,-3.266065104480982e6
3.8,-4.148760820757313e6
3.9,-5.277105305586463e6
4.0,-6.720962356459685e6
4.1,-8.570168577188926e6
4.2,-1.0940616809433796e7
4.3,-1.3981962788528413e7
4.4,-1.788761611862156e7
4.5,-2.290718625464254e7
4.6,-2.936296219603449e7
4.7,-3.7672494821326256e7
4.8,-4.8376727505899414e7
4.9,-6.2176429217167325e7
5.0,-7.997964917563127e7
5.1,-1.0296313921316324e8
5.2,-1.3265703133752507e8
5.3,-1.7103842344038266e8
5.4,-2.2069207363863915e8
5.5,-2.849860386254389e8
5.6,-3.6826233937940896e8
5.7,-4.762106835403079e8
5.8,-6.161749140029572e8
5.9,-7.978845765725936e8
6.0,-1.033877740076321e9
