s,Fx
0.0,1.8147260689514855
0.1,-684.8869652129408
0.2,-1366.5721050305674
0.3,-2051.2271716797186
0.4,-2746.5551003040664
0.5,-3460.1958805100144
0.6,-4199.705496183553
0.7,-4973.124533659471
0.8,-5788.292236449636
0.9,-6653.867336473193
1.0,-7578.808291876339
1.1,-8572.96109051296
1.2,-9646.880382998226
1.3,-10812.13005114155
1.4,-12081.584459420823
1.5,-13469.375118813976
1.6,-14991.09849516919
1.7,-16664.24258276863
1.8,-18508.418061816144
1.9,-20545.352524360813
2.0,-22799.830238590202
2.1,-25299.351621733687
2.2,-28074.77090138756
2.3,-31161.33730128275
2.4,-34598.03283226647
2.5,-38429.53127021778
2.6,-42705.918169513614
2.7,-47483.62693848398
2.8,-52826.780900878155
2.9,-58807.56028069035
3.0,-65507.3580693892
3.1,-73018.7988254592
3.2,-81446.63313856581
3.3,-90908.73215810776
3.4,-101539.41658347093
3.5,-113491.8769483592
3.6,-126936.38463998243
3.7,-142068.9531319103
3.8,-159111.47871812747
3.9,-178314.89538048318
4.0,-199965.40975176974
4.1,-224384.8281160314
4.2,-251940.69604071032
4.3,-283049.85142003617
4.4,-318188.9739753792
4.5,-357894.0085734484
4.6,-402777.2136719075
4.7,-453533.6644798438
4.8,-510958.1046758766
4.9,-575953.0378573064
5.0,-649540.5576603028
5.1,-732891.6048628794
5.2,-827355.006057624
5.3,-934356.1729633554
5.4,-1.0556987012740946e6
5.5,-1.1933637708361123e6
5.6,-1.349521144215929e6
5.7,-1.5267270238716803e6
5.8,-1.7277879284665193e6
5.9,-1.9561883207990825e6
6.0,-2.2156025060966727e6
