s,Fx
0.0,1.182685517446705
0.1,-698.8218075258563
0.2,-1400.7954298330278
0.3,-2113.086311638143
0.4,-2844.015934112671
0.5,-3602.1145063301547
0.6,-4396.0943381054585
0.7,-5235.475626178655
0.8,-6129.884973071102
0.9,-7090.149223191602
1.0,-8127.818336180899
1.1,-9255.807517875966
1.2,-10488.29607566403
1.3,-11841.110538943329
1.4,-13332.144027559085
1.5,-14981.408214263518
1.6,-16811.38583003569
1.7,-18847.627400877165
1.8,-21119.180075542314
1.9,-23658.80035065271
2.0,-26504.186122256437
2.1,-29697.937408957623
2.2,-33288.510982883454
2.3,-37331.80292098342
2.4,-41890.79264723793
2.5,-47038.329456302745
2.6,-52857.335388619125
2.7,-59442.58997344608
2.8,-66902.96716440642
2.9,-75362.93562655027
3.0,-84964.87108668814
3.1,-95872.69485440364
3.2,-108274.35108795327
3.3,-122384.62334581595
3.4,-138451.22987900753
3.5,-156760.1826435674
3.6,-177635.1261410759
3.7,-201452.68657039333
3.8,-228645.22822927838
3.9,-259708.88097081738
4.0,-295216.9905331216
4.1,-335824.7339979596
4.2,-382289.6095472134
4.3,-435483.8325190743
4.4,-496417.0963968111
4.5,-566244.515281976
4.6,-646301.2305181443
4.7,-738127.5305361744
4.8,-843507.1400099407
4.9,-964496.2187324539
5.0,-1.1034615844347093e6
5.1,-1.2631447605059631e6
5.2,-1.4467440092589587e6
5.3,-1.6577696788260215e6
5.4,-1.9005793548233307e6
5.5,-2.1801027196119633e6
5.6,-2.5018577898532166e6
5.7,-2.872402931479917e6
5.8,-3.2990924414121555e6
5.9,-3.791032711161713e6
6.0,-4.358150380079317e6
