s,Fx
0.0,-1.7813585502962206
0.1,-709.2657328164995
0.2,-1454.3497496584155
0.3,-2247.985866011668
0.4,-3102.731528765085
0.5,-4033.2389775769307
0.6,-5056.433194518031
0.7,-6192.671078623906
0.8,-7465.321293610638
0.9,-8902.599324277433
1.0,-10537.841646450162
1.1,-12411.052548263553
1.2,-14570.014627336228
1.3,-17072.108385292817
1.4,-19986.607115242077
1.5,-23396.897375306016
1.6,-27403.61114186275
1.7,-32128.609723215443
1.8,-37719.6397326611
1.9,-44355.686130747185
2.0,-52254.77584030084
2.1,-61681.74076707681
2.2,-72958.66983460309
2.3,-86479.2253425105
2.4,-102722.0528304482
2.5,-122273.61687600003
2.6,-145849.82165014365
2.7,-174326.45090667575
2.8,-208775.136862061
2.9,-250509.90710796975
3.0,-301140.76990382647
3.1,-362645.2209506052
3.2,-437450.86905320827
3.3,-528538.183818395
3.4,-639577.1242166256
3.5,-775092.286570975
3.6,-940620.1714109889
3.7,-1.143017902888955e6
3.8,-1.390730942590784e6
3.9,-1.694166212324147e6
4.0,-2.066196112528963e6
4.1,-2.5226693876900896e6
4.2,-3.0831879148182487e6
4.3,-3.772005692715412e6
4.4,-4.619166367723979e6
4.5,-5.661780633087557e6
4.6,-6.94575463194019e6
4.7,-8.528067080752095e6
4.8,-1.0479432801795742e7
4.9,-1.2887554495421175e7
5.0,-1.586121542306607e7
5.1,-1.9535384440845955e7
5.2,-2.4078308500991687e7
5.3,-2.9696872830558334e7
5.4,-3.665195371569368e7
5.5,-4.5268273935632996e7
5.6,-5.5944415078839526e7
5.7,-6.918216323902166e7
5.8,-8.559818525178947e7
5.9,-1.0598156436477764e8
6.0,-1.3129670618382397e8
