s,Fx
0.0,3.286072941605896
0.1,-643.7992887944552
0.2,-1272.3186519315718
0.3,-1889.7463787675852
0.4,-2502.8372619761267
0.5,-3117.8423348908773
0.6,-3740.530628100019
0.7,-4376.670212425539
0.8,-5031.418680312852
0.9,-5710.233041074567
1.0,-6418.3212647681885
1.1,-7161.18064943053
1.2,-7944.337802803966
1.3,-8773.57004037448
1.4,-9655.073877108398
1.5,-10595.327693638877
1.6,-11601.161615156407
1.7,-12680.010203893467
1.8,-13839.963859566302
1.9,-15089.573493908087
2.0,-16438.508558632828
2.1,-17896.95681917743
2.2,-19476.038477624978
2.3,-21188.278422907028
2.4,-23046.873761662595
2.5,-25066.756296494434
2.6,-27264.101204535327
2.7,-29656.559903153655
2.8,-32263.87696861355
2.9,-35107.468368497386
3.0,-38210.732066175515
3.1,-41599.80180942588
3.2,-45303.400433709205
3.3,-49352.747291433276
3.4,-53782.66188275503
3.5,-58631.961345283125
3.6,-63941.990315473355
3.7,-69759.51199554812
3.8,-76136.02486401264
3.9,-83128.01321270164
4.0,-90798.28454154203
4.1,-99214.86334115775
4.2,-108453.9444426701
4.3,-118599.03540465511
4.4,-129743.75962272073
4.5,-141989.01699197054
4.6,-155448.2059428821
4.7,-170245.16530568205
4.8,-186518.50954644402
4.9,-204420.81138135094
5.0,-224118.30337843252
5.1,-245799.80706978563
5.2,-269676.58799840923
5.3,-295944.5854223309
5.4,-324883.23202063935
5.5,-356771.277175471
5.6,-391898.77803969005
5.7,-430602.81130241393
5.8,-473236.84448494326
5.9,-520253.10530576383
6.0,-572084.8554194556
