s,Fx
0.0,-6.404664158495318
0.1,-607.6785416910466
0.2,-1280.34461934958
0.3,-2039.2374634586647
0.4,-2902.7969654448666
0.5,-3894.1860884856596
0.6,-5042.189204933123
0.7,-6383.555901170606
0.8,-7963.811247416081
0.9,-9841.009756460451
1.0,-12088.487864701588
1.1,-14799.549494215884
1.2,-18092.909259695065
1.3,-22120.13068312555
1.4,-27075.45177926906
1.5,-33207.865032347836
1.6,-40837.38776170279
1.7,-50376.33684711944
1.8,-62356.97920339518
1.9,-77467.2917520254
2.0,-96599.34336909994
2.1,-120910.26077467726
2.2,-151903.19423116557
2.3,-191536.24730130282
2.4,-242359.23058752646
2.5,-307704.2101627357
2.6,-391924.32512994076
2.7,-500716.7617556566
2.8,-641539.1806708374
2.9,-824181.2093978107
3.0,-1.061490973595993e6
3.1,-1.370361807636996e6
3.2,-1.7730163296807664e6
3.3,-2.298712817711519e6
3.4,-2.9860459826498027e6
3.5,-3.885987496920021e6
3.6,-5.0656194437523605e6
3.7,-6.613855924977266e6
3.8,-8.648245197272193e6
3.9,-1.132430395719418e7
4.0,-1.4848343902658967e7
4.1,-1.949342967367195e7
4.2,-2.56219609256945e7
4.3,-3.37154698875277e7
4.4,-4.441428276846677e7
4.5,-5.85691546329099e7
4.6,-7.731066431668295e7
4.7,-1.0214613554218884e8
4.8,-1.3508539542246228e8
4.9,-1.788088399702715e8
5.0,-2.3689231136206958e8
5.1,-3.141069092022564e8
5.2,-4.16836637875204e8
5.3,-5.535902509604528e8
5.4,-7.357949414517812e8
5.5,-9.787875304010737e8
5.6,-1.3029739243436422e9
5.7,-1.7358459883274727e9
5.8,-2.3140263119433484e9
5.9,-3.0872929689800744e9
6.0,-4.1219441318254805e9
