s,Fx
0.0,-1.1492353697674595
0.1,-715.0471876400127
0.2,-1459.4059698467977
0.3,-2244.5632327417393
0.4,-3082.095888598311
0.5,-3985.231150369151
0.6,-4968.946895994022
0.7,-6050.981786231652
0.8,-7251.298497443153
0.9,-8593.70153058129
1.0,-10105.863070375599
1.1,-11820.568569704275
1.2,-13776.424781919603
1.3,-16019.187046408364
1.4,-18603.414975796826
1.5,-21593.914893653822
1.6,-25067.873971937926
1.7,-29117.60293137672
1.8,-33853.617183364506
1.9,-39408.025441296
2.0,-45939.814664169804
2.1,-53639.5270098833
2.2,-62735.85569021406
2.3,-73504.90016810733
2.4,-86277.6471957312
2.5,-101454.66419320759
2.6,-119518.30087517406
2.7,-141050.7500386662
2.8,-166755.063558989
2.9,-197481.63162590974
3.0,-234258.24694497784
3.1,-278330.5452353957
3.2,-331206.8676028785
3.3,-394713.27664507
3.4,-471068.12358641776
3.5,-562969.7329430586
3.6,-673671.0732615909
3.7,-807148.5439614195
3.8,-968231.0209716944
3.9,-1.1627850756586443e6
4.0,-1.3979675782692167e6
4.1,-1.6824627401474253e6
4.2,-2.0268632295727043e6
4.3,-2.444090455654993e6
4.4,-2.9499283271249654e6
4.5,-3.5635877121432973e6
4.6,-4.308499624505315e6
4.7,-5.2133333057761295e6
4.8,-6.313168224109623e6
4.9,-7.650883138850495e6
5.0,-9.278891033165814e6
5.1,-1.1261293368768672e7
5.2,-1.3676904443770973e7
5.3,-1.6620901607933508e7
5.4,-2.0212127067095783e7
5.5,-2.459614177736319e7
5.6,-2.994859317048806e7
5.7,-3.648781550968058e7
5.8,-4.447759616231736e7
5.9,-5.425211142246649e7
6.0,-6.6212014095869586e7
