s,Fx
0.0,2.5078172210312326
0.1,-666.6605203570385
0.2,-1323.948891363697
0.3,-1977.0497619412017
0.4,-2633.141164138166
0.5,-3299.101300759215
0.6,-3981.504237216694
0.7,-4687.14118206895
0.8,-5422.366091550738
0.9,-6194.056632911933
1.0,-7009.072253400318
1.1,-7874.809457652739
1.2,-8798.972591816437
1.3,-9789.823818654124
1.4,-10856.404714215976
1.5,-12008.42493287008
1.6,-13256.381956456818
1.7,-14611.880863442268
1.8,-16087.749024791987
1.9,-17697.906086185336
2.0,-19458.126754672307
2.1,-21385.530753627158
2.2,-23499.061685955596
2.3,-25820.184210474425
2.4,-28372.128086993183
2.5,-31181.311438538636
2.6,-34276.87564302012
2.7,-37691.16104381952
2.8,-41460.5749308289
2.9,-45625.40532889491
3.0,-50230.40488562712
3.1,-55325.971434155836
3.2,-60968.31013015381
3.3,-67219.63139989681
3.4,-74150.03219836524
3.5,-81838.52174070795
3.6,-90371.20058468777
3.7,-99846.23147770535
3.8,-110373.20487201997
3.9,-122074.21345381593
4.0,-135086.7310750379
4.1,-149562.65451335473
4.2,-165673.5765769275
4.3,-183610.99260501645
4.4,-203591.49075787253
4.5,-225853.92343906316
4.6,-250668.46675973843
4.7,-278336.4537880683
4.8,-309198.4311873743
4.9,-343635.2441809282
5.0,-382070.59758719546
5.1,-424986.158681083
5.2,-472929.45036120765
5.3,-526449.7737380771
5.4,-586270.6156735927
5.5,-653156.108120776
5.6,-727923.2639874795
5.7,-811527.4531064722
5.8,-904994.3210973252
5.9,-1.0096094636510399e6
6.0,-1.1266737088400167e6
