s,Fx
0.0,0.5900585586930523
0.1,-708.7054730687712
0.2,-1427.0378721906584
0.3,-2163.1768344312627
0.4,-2926.1477248598817
0.5,-3725.4920539594973
0.6,-4571.24837691051
0.7,-5474.647950987391
0.8,-6447.416844172682
0.9,-7502.960653466663
1.0,-8655.95620961425
1.1,-9923.077256100478
1.2,-11323.008064594778
1.3,-12876.95351426199
1.4,-14609.230617652594
1.5,-16547.493166034215
1.6,-18723.310667350434
1.7,-21173.030963200505
1.8,-23938.52766001382
1.9,-27067.77625258771
2.0,-30616.556896865233
2.1,-34648.92646709825
2.2,-39238.74604434783
2.3,-44472.12351132871
2.4,-50447.727150604594
2.5,-57280.87903882192
2.6,-65104.766874574525
2.7,-74073.75043355953
2.8,-84367.25255619413
2.9,-96193.42124794314
3.0,-109793.69174549969
3.1,-125449.48392385652
3.2,-143487.8941638151
3.3,-164288.32349074795
3.4,-188293.87002675442
3.5,-216022.64981107315
3.6,-248070.8456308631
3.7,-285140.3322640187
3.8,-328048.2374956961
3.9,-377745.79058394034
4.0,-435347.0149940335
4.1,-502144.78434856195
4.2,-579653.2968231308
4.3,-669641.8639799621
4.4,-774185.3106056397
4.5,-895696.161557939
4.6,-1.0369986862447145e6
4.7,-1.201401032087176e6
4.8,-1.3927856323499477e6
4.9,-1.6156945794368004e6
5.0,-1.875437797466763e6
5.1,-2.178244154335164e6
5.2,-2.531473314083099e6
5.3,-2.9434468751053205e6
5.4,-3.4244222079568687e6
5.5,-3.986282643894559e6
5.6,-4.642601804101778e6
5.7,-5.409674306964996e6
5.8,-6.30614013449237e6
5.9,-7.355122904338029e6
6.0,-8.58254528177479e6
