s,Fx
0.0,0.0003676224789734472
0.05,0.005538176421697391
0.1,0.010546736115318747
0.15,0.0155881987623815
0.2,0.020866802373815135
0.25,0.026613261346484392
0.3,0.033148619907127704
0.35,0.04087897564970934
0.4,0.05040412168896098
0.45,0.06261838665942687
0.5,0.07893341099933489
0.55,0.10167416827409098
0.6,0.13496257830693403
0.65,0.18656940878291392
0.7,0.27251713092116575
0.75,0.42890720104575936
0.8,0.745374650055305
0.85,1.4608242109591145
0.9,3.2269572244886655
0.95,7.733893051195109
1.0,18.814321005911605
1.05,43.647065545708884
1.1,93.55923038976466
1.15,185.1151569171016
1.2,342.69885410769314
1.25,602.9758672832196
1.3,1021.505151378401
1.35,1682.3896316659223
1.4,2712.5055988237673
1.45,4302.582128585178
1.5,6738.441386108166
1.55,10447.262419062632
1.6,16066.000112283453
1.65,24542.46407284189
1.7,37284.48307357813
1.75,56379.810497049235
1.8,84920.03835172615
1.85,127477.33235599106
1.9,190805.54250845296
1.95,284870.618500366
2.0,424364.02864333533
