s,Fx
0.0,0.00030981647458603836
0.05,0.007180210445561787
0.1,0.013627709869552898
0.15,0.019861840807895145
0.2,0.02608856356560385
0.25,0.03252541421780744
0.3,0.039461937223696585
0.35,0.047247719743144075
0.4,0.056389116897849485
0.45,0.0676287935426957
0.5,0.08212962574013245
0.55,0.10179479288247567
0.6,0.1299995557194445
0.65,0.17311653344250325
0.7,0.24439212403942
0.75,0.3741288410390311
0.8,0.6396989003406334
0.85,1.2560717096859453
0.9,2.8423814409110286
0.95,7.113349797130533
1.0,18.2761192495934
1.05,45.0101603235427
1.1,102.67886411552473
1.15,216.5897245506537
1.2,428.1449445589068
1.25,805.5392930734654
1.3,1461.1695683753323
1.35,2579.633050799655
1.4,4462.777818928925
1.45,7602.164985717898
1.5,12795.460421266695
1.55,21333.09907648606
1.6,35297.15372224114
1.65,58039.198334755696
1.7,94943.36355040652
1.75,154643.34317660134
1.8,250961.37605642807
1.85,405994.5321740644
1.9,655022.789249134
1.95,1.0543079956917744e6
2.0,1.693477456200483e6
