s,Fx
0.0,0.00039452796237145335
0.05,0.006245876679139332
0.1,0.011810320512181647
0.15,0.017287701884757253
0.2,0.02288072358638452
0.25,0.028811022580413913
0.3,0.03538108305625583
0.35,0.04296527982103553
0.4,0.05211207368467204
0.45,0.06363335598205079
0.5,0.07880631265820115
0.55,0.0997288787057011
0.6,0.13012242327993562
0.65,0.17701080329302726
0.7,0.2549424946889831
0.75,0.3969678914944044
0.8,0.6863552601275826
0.85,1.3498213139484905
0.9,3.0231095918796624
0.95,7.410658748010789
1.0,18.534834383953232
1.05,44.30975706243242
1.1,97.98340800986219
1.15,200.15926332876253
1.2,382.8550167029447
1.25,696.484867945841
1.3,1220.7301674655334
1.35,2081.234926647318
1.4,3475.3474142805267
1.45,5711.8686240343595
1.5,9272.38724419024
1.55,14905.8099029541
1.6,23773.83262337686
1.65,37674.5335302404
1.7,59385.62444184648
1.75,93190.82213998707
1.8,145686.254670793
1.85,227014.790723876
1.9,352753.7945073334
1.95,546800.0860102635
2.0,845775.8667927613
