s,Fx
0.0,0.00037014338806523877
0.05,0.00668173365045974
0.1,0.01264000723786143
0.15,0.01844901698995694
0.2,0.024312461230769408
0.25,0.03044928731018101
0.3,0.03715480914706355
0.35,0.04479016691690532
0.4,0.053881677948659015
0.45,0.06520507955337476
0.5,0.07997806911921258
0.55,0.10019747815654709
0.6,0.1294053237015561
0.65,0.174288713552301
0.7,0.24872487056369919
0.75,0.38435402791468515
0.8,0.6614387293098359
0.85,1.3007642912647723
0.9,2.9298388742181953
0.95,7.258728739951893
1.0,18.402810396653994
1.05,44.65511910937152
1.1,100.2961815048928
1.15,208.19317142622967
1.2,404.817548789339
1.25,748.9112838112545
1.3,1335.2871194720963
1.35,2316.5266528706406
1.4,3937.1625757585075
1.45,6587.55246833934
1.5,10888.69692007398
1.55,17825.590753722438
1.6,28956.54619563396
1.65,46741.344999324945
1.7,75055.02778250417
1.75,119991.41890094598
1.8,191118.50952213665
1.85,303437.9845462697
1.9,480441.20717994525
1.95,758871.504077025
2.0,1.196140224900897e6
